timestamp,second,camera_index,width,height,target_fps,mode,infer_skip,model_complexity,max_num_hands,jpeg_quality,video_enabled,camera_fps,process_fps,infer_fps,ws_fps,mjpeg_fps,cpu_percent,memory_mb,read_ms,preprocess_ms,inference_ms,encode_ms,loop_ms,area,scale,motion,clients,frame_shape,hand_detected,landmark_count,pinch_distance,confidence
1781518146.725,1,0,640,480,30.0,opencv,3,0,1,70,False,10.787,10.787,0.0,10.787,0.0,40.3,52.1,51.648,27.517,10.644,0.0,90.21,1684.273,0.662,0.455,0,480x640x3,0,0.0,0.0,
1781518147.714,2,0,640,480,30.0,opencv,3,0,1,70,False,10.908,10.908,0.0,10.908,0.0,49.4,52.4,50.875,27.606,10.625,0.0,89.492,1335.955,0.648,0.273,0,480x640x3,0,0.0,0.0,
1781518148.706,3,0,640,480,30.0,opencv,3,0,1,70,False,10.994,10.994,0.0,10.994,0.0,48.6,52.4,51.259,27.592,10.642,0.0,89.86,1339.045,0.629,0.545,0,480x640x3,0,0.0,0.0,
1781518149.79,4,0,640,480,30.0,opencv,3,0,1,70,False,11.065,11.065,0.0,11.065,0.0,44.7,52.2,51.432,27.573,10.651,0.0,90.029,1160.375,0.618,0.333,0,480x640x3,0,0.0,0.0,
1781518150.779,5,0,640,480,30.0,opencv,3,0,1,70,False,10.248,10.248,0.0,10.248,0.0,39.8,52.4,50.888,27.565,10.73,0.0,89.555,2071.818,0.662,0.818,0,480x640x3,0,0.0,0.0,
1781518151.771,6,0,640,480,30.0,opencv,3,0,1,70,False,10.32,10.32,0.0,10.32,0.0,39.5,52.3,51.199,27.666,10.675,0.0,89.904,1233.136,0.619,0.545,0,480x640x3,0,0.0,0.0,
1781518152.763,7,0,640,480,30.0,opencv,3,0,1,70,False,10.399,10.399,0.0,10.399,0.0,42.9,52.3,51.206,27.562,10.684,0.0,89.843,1436.318,0.637,0.545,0,480x640x3,0,0.0,0.0,
1781518153.752,8,0,640,480,30.0,opencv,3,0,1,70,False,10.507,10.507,0.0,10.507,0.0,45.3,52.4,51.019,27.507,10.68,0.0,89.588,1129.909,0.62,0.364,0,480x640x3,0,0.0,0.0,
1781518154.745,9,0,640,480,30.0,opencv,3,0,1,70,False,10.582,10.582,0.0,10.582,0.0,44.9,52.5,51.253,27.55,10.698,0.0,89.891,1654.545,0.645,0.636,0,480x640x3,0,0.0,0.0,
1781518155.757,10,0,640,480,30.0,opencv,3,0,1,70,False,10.456,10.456,0.0,10.456,0.0,53.1,52.5,41.678,38.607,11.058,0.0,91.712,2056.091,0.658,0.909,0,480x640x3,0,0.0,0.0,
